Source,Target
Wang Jianwei,2002
Wissam Shawkat,2002
Yang Fudong,2002
Yuk King Tan,2002
Yuko Hasegawa,2002
Zena el Khalil,2002
Lara Favaretto,2002-03
Mariam Ghani,2002-07
Rashid Masharawi,2002-2003
Suzanne Cotter,2002-2009
Abdelkader Benchamma,2003
Abdullah Al Saadi,2003
Abdullah Idrees,2003
Abdulmajid Ali Al-Jarouf,2003
Adrian Paci,2003
Akram Zaatari,2003
Alan Bishop,2003
Alexander Markov,2003
Alfredo Aquilizan,2003
Ammar Bouras,2003
Ana Vidigal,2003
Ayreen Anastas,2003
Bae Young-whan,2003
Bahman Kiarostami,2003
Carlos  Amorales,2003
Carsten Höller,2003
Cevdet Erek,2003
Fayçal Baghriche,2003
Fouad Elkoury,2003
Gilbert Hage,2003
Giuseppe Moscatello,2003
Hani Al Ghayhab,2003
Haris Epaminonda,2003
Heman Chong,2003
Isabel Aquilizan,2003
Jalal Toufic,2003
Jayce Salloum,2003
"Jean-Luc Moulène ",2003
"Joana Hadjithomas ",2003
Kazuyo Sejima,2003
Khaled Sabsabi,2003
Khalil Joreige,2003
Lamia Joreige,2003
"Lúcia Koch ",2003
Maha Maamoun,2003
Marcel Odenbach,2003
Marcel Schwierin,2003
Marie-Hélène Cauvin,2003
Mark Lombardi,2003
Michael Rakowitz,2003
Moataz Nasr,2003
Mustapha Benfodil,2003
N.S. Harsha,2003
Nacera Belaza,2003
Olafur Eliasson,2003
Otobong Nkanga,2003
Rania Stephan,2003
Rashid Masharawi,2003
Ravi Agarwal,2003
Rika Noguchi,2003
Rula Halawani,2003
Saâdane Afif,2003
Setareh Shahbazi,2003
Shahzia Sikander,2003
Sharif Waked,2003
Shimabuku,2003
Shinichiro Ogata,2003
Sophie Ernst,2003
Susan Hefuna,2003
Taysir Batniji,2003
Thomas Demand,2003
Walid Raad,2003
Wang Jianwei,2003
Yang Fudong,2003
Yazan Khalili,2003
Youssef Nabil,2003
Yto Barrada,2003
Yuko Hasegawa,2003
Ziad Antar,2003
Jane & Louise Wilson,2003-04
Nida Sinnokrot,2003-06
Zineb Sedira,2003-2004
Bakr Sheikhoon,2003 two
Abdullah Al Saadi,2004
Abdulmajid Ali Al-Jarouf,2004
Adel Abidin,2004
Adrian Paci,2004
Ahmad Ghossein,2004
Ahmed El Attar,2004
Alfredo Aquilizan,2004
Ana Torfs,2004
Angela Harutyunyan,2004
Ayreen Anastas,2004
Bae Young-whan,2004
Bahman Kiarostami,2004
"Basim Magdy ",2004
Basma Al Sharif,2004
Carsten Höller,2004
Gabriel Lester,2004
Gilbert Hage,2004
Hala Elkoussy,2004
Hamra Abbas,2004
Heman Chong,2004
Hrair Sarkissian,2004
Huda Totonji,2004
Idris Khan,2004
Iman Issa,2004
Isabel Aquilizan,2004
Jane & Louise Wilson,2004
"Jean-Luc Moulène ",2004
Jem Cohen,2004
Karim Aïnouz,2004
Kazuyo Sejima,2004
Khaled Sabsabi,2004
Lamya Gargash,2004
Lani Maestro,2004
Lara Favaretto,2004
Magdi Mostafa,2004
Maha Maamoun,2004
Mahmoud Refat,2004
Mariam Ghani,2004
Mario Rizzi,2004
Marwan Rechmaoui,2004
Moataz Nasr,2004
Mohamed Bourouissa,2004
Mona Hatoum,2004
Monika Börgmann,2004
Mouna Karray,2004
Mounir Al-Shaarani,2004
Murtaza Vali,2004
Nargess Hashemi,2004
Nastaran Safaei,2004
Nevin Aladag,2004
Nikolaj Bendix,2004
Noha Al-Sharif,2004
Pascale Marthine Tayou,2004
Ramin Haerizadeh,2004
Raqs Media Collective,2004
Rika Noguchi,2004
Rula Halawani,2004
Saba Innab,2004
Setareh Shahbazi,2004
Shadia Alem,2004
Simryn Gill,2004
Solange Farkas,2004
Sophie Ernst,2004
Susan Hefuna,2004
Tarek Halaby,2004
Theo Eshetu,2004
Thomas Demand,2004
Wang Jianwei,2004
Yang Shaobin,2004
Yonamine,2004
Yousef Jaha,2004
Yto Barrada,2004
Yuk King Tan,2004
Yuko Hasegawa,2004
Zhang Hui,2004
Ziad Antar,2004
Zineb Sedira,2004
Susan Hefuna,2004/2005
Khaled Hourani,2004-06
José Luis Martinat,2004-07
Keith Shiri,2004-2007
Abbas Kiarostami,2005
Abdullah Al Saadi,2005
Adel Abidin,2005
Ahmed El Attar,2005
Akram Zaatari,2005
Alberto Duman,2005
Alexander Markov,2005
Alfredo Jaar,2005
Amir H. Fallah,2005
Artur Żmijewski,2005
