target,source,group,lat,long
Britain,Janne Al-Ani,1,-2.072784,53.71903
Britain,Mo Hatoum,1,-2.072784,53.71903
Britain,Rasheed Araeen,1,-2.072784,53.71903
Britain,Reza Aramesh,1,-2.072784,53.71903
Britain,Aras ├ûzg├╝n,1,-2.072784,53.71903
Brittany,Georges Sabbagh,1,-2.932644,48.20205
Brixen,YOVO! YOVO!,1,11.65724,46.7177
Brooklyn,Murtaza Vali,1,-73.94416,40.67818
Brooklyn,Cabinet,1,-73.94416,40.67818
Brooklyn,Sohrab Mohebbi,1,-73.94416,40.67818
Brooklyn,Dia Al Hadid,1,-73.94416,40.67818
Brooklyn,Nicky Nodjoumi,1,-73.94416,40.67818
Brooklyn,Mariam Ghani,1,-73.94416,40.67818
Brooklyn,Ghada Khunji,1,-73.94416,40.67818
Brooklyn,Ayreen Astas,1,-73.94416,40.67818
Brooklyn,Fay├ºal Baghriche ,1,-73.94416,40.67818
Brunei,Lulwah Al-Homoud,1,114.7277,4.535277
Brunswick,bil has,1,-81.49149,31.14995
Brussels,Raqs Media Collective,1,4.35171,50.85034
Brussels,David Claerbout,1,4.35171,50.85034
Brussels,Raeda Saadeh,1,4.35171,50.85034
Brussels,Mohamed Bourouissa,1,4.35171,50.85034
Brussels,Jalal Toufic,1,4.35171,50.85034
Brussels,Doa Aly,1,4.35171,50.85034
Brussels,Melik Ohanian,1,4.35171,50.85034
Brussels,Nida Sinnokrot,1,4.35171,50.85034
Brussels,Adel Abidin,1,4.35171,50.85034
Brussels,Mou Karray,1,4.35171,50.85034
Brussels,Ayreen Astas,1,4.35171,50.85034
Brussels,Slavs and Tatars,1,4.35171,50.85034
Brussels,Khalid al-Jader,1,4.35171,50.85034
Brussels,Mal Al Dowayan,1,4.35171,50.85034
Brussels,Tarek Halaby,1,4.35171,50.85034
Brussels,Sherif El Azma,1,4.35171,50.85034
Brussels,Meri├º Alg├╝n Ringborg ,1,4.35171,50.85034
Brussels,Marwan Rechmaoui,1,4.35171,50.85034
Bucharest,Khalid al-Jader,1,26.10254,44.42677
Bucharest,Abbas Akhavan,1,26.10254,44.42677
Bucharest,Yazid Oulab,1,26.10254,44.42677
Budapest,Elias Zayat,1,19.04023,47.49791
Buffalo,Mariam Ghani,1,-78.87837,42.88645
Bulgaria,Susan Hefu,1,25.48583,42.73388
Bulgaria,Ismail al-Shaikhly,1,25.48583,42.73388
Busan,Isma├»l Bahri,1,129.0756,35.17955
Busan,Rula Halawani,1,129.0756,35.17955
CA,Ala Ebtekar,1,,
CA,Sherin Guirguis,1,,
Caen,Kamarstudios ,1,-0.370679,49.18286
Cairo,Iman Issa,1,31.23571,30.04442
Cairo,An Boghiguian,1,31.23571,30.04442
Cairo,Sama Alshaibi,1,31.23571,30.04442
Cairo,Lamia Joreige,1,31.23571,30.04442
Cairo,Ahmed El Attar,1,31.23571,30.04442
Cairo,Fouad Elkoury,1,31.23571,30.04442
Cairo,Sophia Al Maria,1,31.23571,30.04442
Cairo,Hala Elkoussy,1,31.23571,30.04442
Cairo,Fahd Al-Hijilan,1,31.23571,30.04442
Cairo,Georges Sabbagh,1,31.23571,30.04442
Cairo,Gamal el-Sigini,1,31.23571,30.04442
Cairo,Elias Zayat,1,31.23571,30.04442
Cairo,Lara Baladi,1,31.23571,30.04442
Cairo,Sherif El Azma,1,31.23571,30.04442
Cairo,Huda Lutfi,1,31.23571,30.04442
Cairo,Ayman Ramadan,1,31.23571,30.04442
Cairo,Soraya Darwish,1,31.23571,30.04442
Cairo,Basim Magdy ,1,31.23571,30.04442
Cairo,Sherin Guirguis,1,31.23571,30.04442
Cairo,Inji Efflatoun,1,31.23571,30.04442
Cairo,Raafat Ishak,1,31.23571,30.04442
Cairo,Adham Wanly,1,31.23571,30.04442
Cairo,Waheeda Malullah,1,31.23571,30.04442
Cairo,Lawrence Abu Hamdan ,1,31.23571,30.04442
Cairo,Mohamed Abdelkarim,1,31.23571,30.04442
Cairo,Doa Aly,1,31.23571,30.04442
Cairo,Youssef Kamel,1,31.23571,30.04442
Cairo,dia Ayari,1,31.23571,30.04442
Cairo,bil has,1,31.23571,30.04442
Cairo,Maha Maamoun,1,31.23571,30.04442
Cairo,Safeya Binzagr,1,31.23571,30.04442
Cairo,Hamed Owais,1,31.23571,30.04442
Cairo,Nir Esber,1,31.23571,30.04442
Cairo,Setareh Shahbazi,1,31.23571,30.04442
Cairo,Ahmad Osman,1,31.23571,30.04442
Cairo,dia Kaabi-Linke,1,31.23571,30.04442
Cairo,Moataz sr,1,31.23571,30.04442
Cairo,Angela Harutyunyan,1,31.23571,30.04442
Cairo,Mounir Al-Shaarani,1,31.23571,30.04442
Cairo,Magdi Mostafa,1,31.23571,30.04442
Cairo,Ibrahim Abumsmar,1,31.23571,30.04442
Cairo,Nil Yalter,1,31.23571,30.04442
Cairo,Firoz Mahmud,1,31.23571,30.04442
Cairo,Hamed da,1,31.23571,30.04442
Cairo,Han Abdullah Bahamdan,1,31.23571,30.04442
Cairo,Raeda Ashour,1,31.23571,30.04442
Cairo,Samira Badran,1,31.23571,30.04442
Cairo,Youssef bil,1,31.23571,30.04442
Cairo,Mo Marzouk,1,31.23571,30.04442
Cairo,Djamel Kokene,1,31.23571,30.04442
Cairo,Ragheb Ayad,1,31.23571,30.04442
