source,edgetype,target
Ahmed El Attar,Origin,Egyptian
Ahmed El Attar,Organization,Temple Independent Theatre Company
Ahmed El Attar,Person,El
Ahmed El Attar,Person,Attar
Ahmed El Attar,Organization,Studio Emad Eddin Foundation
Ahmed El Attar,Location,Cairo
Ahmed El Attar,Organization,Sharjah Biennial
Ahmed El Attar,Date,2009
Ahmed El Attar,Date,1998
Ahmed El Attar,Person,El
Ahmed El Attar,Person,Attar
Ahmed El Attar,Person,Hassan
Ahmed El Attar,Date,2009
Ahmed El Attar,Person,K Darwin
Ahmed El Attar,Date,2007
Ahmed El Attar,Organization,Cairo International
Ahmed El Attar,Date,2007
Ahmed El Attar,Person,Othello
Ahmed El Attar,Person,William Shakespeare
Ahmed El Attar,Date,2006
Ahmed El Attar,Date,2004
Ahmed El Attar,Location,America
Ahmed El Attar,Date,2000
Ahmed El Attar,Person,Ahmed El Attar
Ahmed El Attar,Organization,BA
Ahmed El Attar,Organization,
Ahmed El Attar,Location,Cairo
Ahmed El Attar,Organization,Arts and Cultural Management
Ahmed El Attar,Location,Paris
Ahmed El Attar,Location,Chevening
Ahmed El Attar,Location,UK
Ahmed El Attar,Person,des Cultures
Ahmed El Attar,Date,2005
Ahmed El Attar,Person,El
Ahmed El Attar,Person,Attar
Ahmed El Attar,Organization,Newsweek
Ahmed El Attar,Date,October 2010
Ahmed Foula,Person,Ahmed Foula
Ahmed Foula,Address,http://www.sharjahart.org/people/people-by-alphabet/f/foula-ahmed
Ahmed Foula,Person,Ahmed Foula
Ahmed Foula,Location,Alexandria
Ahmed Foula,Location,Egypt
Ahmed Foula,Date,1979
Ahmed Foula,Organization,Faculty of Fine Arts
Ahmed Foula,Location,Alexandria
Ahmed Foula,Location,Egypt
Ahmed Foula,Date,2008
Ahmed Foula,Person,Foula
Ahmed Foula,Location,Egypt
Ahmed Foula,Location,Sharjah
Ahmed Foula,Location,Montreal
Ahmed Foula,Location,Canada
Ahmed Foula,Date,November 2010
Ahmed Mater,Person,Ahmed Mater
Ahmed Mater,Address,http://www.sharjahart.org/people/people-by-alphabet/m/mater-ahmed
Ahmed Mater,Date,1979
Ahmed Mater,Location,Tabuk
Ahmed Mater,Origin,Saudi
Ahmed Mater,Location,Abha
Ahmed Mater,Location,Saudi Arabia
Ahmed Mater,Person,Ahmed Mater
Ahmed Mater,Location,Abha
Ahmed Mater,Location,Saudi Arabia
Ahmed Mater,Location,Saudi Arabia
Ahmed Mater,Person,Mater
Ahmed Mater,Person,Abha
Ahmed Mater,Organization,Miftaha Arts Village
Ahmed Mater,Person,Mater
Ahmed Mater,Organization,Edge of Arabia
Ahmed Mater,Date,2008
Ahmed Mater,Origin,Saudi
Ahmed Mater,Person,Mater
Ahmed Mater,Organization,Mori Museum of Art
Ahmed Mater,Location,Tokyo
Ahmed Mater,Date,2012
Ahmed Mater,Organization,Nelson-Atkins Museum of Art
Ahmed Mater,Location,Kansas City
Ahmed Mater,Date,2013
Ahmed Mater,Organization,Sharjah Biennial
Ahmed Mater,Location,Sharjah
Ahmed Mater,Date,2013
Ahmed Mater,Organization,Leiden Museum of Ethnology
Ahmed Mater,Date,2013
Ahmed Mater,Location,Beirut
Ahmed Mater,Date,2013
Ahmed Mater,Location,Moulin
Ahmed Mater,Location,Paris
Ahmed Mater,Date,2013
Ahmed Mater,Date,2010
Ahmed Mater,Location,Berlin
Ahmed Mater,Date,2010
Ahmed Mater,Location,New York
Ahmed Mater,Date,2011
Ahmed Mater,Person,Art Basel
